Brand,Product Name,Product URL,Image URL,Description,Price,Category
Catrice,True Skin,https://www.notino.co.uk/catrice/true-skin-natural-coverage-hydrating-foundation/,https://cdn.notinoimg.com/list_2k/catrice/4059729278104_01-o.jpg,natural coverage hydrating foundation,8.00,foundation
Revlon Cosmetics,ColorStay™,https://www.notino.co.uk/revlon-cosmetics/colorstay-mattifying-make-up-spf-20/,https://cdn.notinoimg.com/list_2k/revlon-cosmetics/309974677097_01-ox.jpg,long-lasting foundation for normal to dry skin,7.80,foundation
Gosh,Dextreme,https://www.notino.co.uk/gosh/dextreme-full-coverage-foundation/,https://cdn.notinoimg.com/list_2k/gosh/5711914151386_01-o.jpg,full coverage foundation,11.20,foundation
Lirene,Vitamin E,https://www.notino.co.uk/lirene/vitamin-e-high-coverage-liquid-foundation/,https://cdn.notinoimg.com/list_2k/lirene/5900717060074_01-o.jpg,high-coverage liquid foundation,3.20,foundation
Lirene,My Master,https://www.notino.co.uk/lirene/my-master-full-coverage-foundation/,https://cdn.notinoimg.com/list_2k/lirene/5900717656116_01-o.jpg,full coverage foundation,6.40,foundation
Maybelline,Affinitone,https://www.notino.co.uk/maybelline/affinitone-hydrating-foundation/,https://cdn.notinoimg.com/list_2k/maybelline/3600530427451_01-o__21.jpg,hydrating foundation,8.10,foundation
Dermacol,Cover,https://www.notino.co.uk/dermacol/cover-foundation/,https://cdn.notinoimg.com/list_2k/dermacol/85945944_01-o__27.jpg,extreme makeup cover SPF 30,11.50,foundation
L’Oréal Paris,True Match,https://www.notino.co.uk/loreal-paris/true-match-liquid-foundation/,https://cdn.notinoimg.com/list_2k/loreal-paris/3600522862390_01-o__19.jpg,liquid foundation,9.60,foundation
Gosh,X-ceptional,https://www.notino.co.uk/gosh/x-ceptional-everlasting-foundation/,https://cdn.notinoimg.com/list_2k/gosh/57044163_01-o__18.jpg,long-lasting foundation,9.40,foundation
Dermacol,Cover Longwear,https://www.notino.co.uk/dermacol/longwear-cover-liquid-foundation-spf-15/,https://cdn.notinoimg.com/list_2k/dermacol/85968660_01-o.jpg,liquid foundation SPF 15 shade No.03 Beige 30 ml,9.80,foundation
